block_name,index,phase_rad,residual_size,l2_norm,rms_norm,max_abs,row_norm,entered_endpoint_residual,notes
A_map_invariance,summary,N/A,366,3.443747718188624e-09,1.800075768481922e-10,5.758493508423168e-10,7.890972080147777e-10,True,Phi_T(X_i) - I_rho[X](theta_i)
A_map_invariance_point,0,0,6,2.124650908175439e-10,8.673851010951169e-11,1.513041705814011e-10,2.124650908175439e-10,True,pointwise map residual
A_map_invariance_point,1,0.1030030378226162,6,2.312003176826796e-10,9.438713444865599e-11,1.675530374167788e-10,2.312003176826796e-10,True,pointwise map residual
A_map_invariance_point,2,0.2060060756452323,6,4.43541220071724e-10,1.810749448445374e-10,3.259285272227963e-10,4.43541220071724e-10,True,pointwise map residual
A_map_invariance_point,3,0.3090091134678485,6,6.596832255838857e-10,2.693145490923083e-10,4.844284140492761e-10,6.596832255838857e-10,True,pointwise map residual
A_map_invariance_point,4,0.4120121512904646,6,6.575353031978164e-10,2.684376634501464e-10,4.789179816611089e-10,6.575353031978164e-10,True,pointwise map residual
A_map_invariance_point,5,0.5150151891130808,6,4.65560366225029e-10,1.900642236190981e-10,3.330231992948463e-10,4.65560366225029e-10,True,pointwise map residual
A_map_invariance_point,6,0.618018226935697,6,3.013367306829166e-10,1.230202051552702e-10,2.096967877118772e-10,3.013367306829166e-10,True,pointwise map residual
A_map_invariance_point,7,0.7210212647583132,6,2.885199694540092e-10,1.177877842942852e-10,2.010477721803294e-10,2.885199694540092e-10,True,pointwise map residual
A_map_invariance_point,8,0.8240243025809293,6,3.434535544942734e-10,1.402143264760243e-10,2.441069811565111e-10,3.434535544942734e-10,True,pointwise map residual
A_map_invariance_point,9,0.9270273404035454,6,3.256468635687744e-10,1.32944775346871e-10,2.350133386508357e-10,3.256468635687744e-10,True,pointwise map residual
A_map_invariance_point,10,1.030030378226162,6,2.659309972713563e-10,1.085658750173815e-10,1.953819675493129e-10,2.659309972713563e-10,True,pointwise map residual
A_map_invariance_point,11,1.133033416048778,6,3.250769868966241e-10,1.327121241696904e-10,2.416350661227362e-10,3.250769868966241e-10,True,pointwise map residual
A_map_invariance_point,12,1.236036453871394,6,5.543487575050083e-10,2.263119325721862e-10,4.097993264173816e-10,5.543487575050083e-10,True,pointwise map residual
A_map_invariance_point,13,1.33903949169401,6,7.656060738843568e-10,3.125573708320387e-10,5.611900909252565e-10,7.656060738843568e-10,True,pointwise map residual
A_map_invariance_point,14,1.442042529516626,6,7.422046837993238e-10,3.030037933353459e-10,5.390346259626089e-10,7.422046837993238e-10,True,pointwise map residual
A_map_invariance_point,15,1.545045567339242,6,5.046983310016384e-10,2.060422308313838e-10,3.618705265995281e-10,5.046983310016384e-10,True,pointwise map residual
A_map_invariance_point,16,1.648048605161859,6,2.897749893812465e-10,1.18300144034078e-10,2.041609277469991e-10,2.897749893812465e-10,True,pointwise map residual
A_map_invariance_point,17,1.751051642984475,6,2.812258925333396e-10,1.1480998986091e-10,1.989923677225836e-10,2.812258925333396e-10,True,pointwise map residual
A_map_invariance_point,18,1.854054680807091,6,3.863791948519849e-10,1.577386457691266e-10,2.777618343663413e-10,3.863791948519849e-10,True,pointwise map residual
A_map_invariance_point,19,1.957057718629707,6,4.105992154492754e-10,1.676264277729701e-10,2.990350363163419e-10,4.105992154492754e-10,True,pointwise map residual
A_map_invariance_point,20,2.060060756452323,6,3.202041380812287e-10,1.307227919711163e-10,2.368634351157528e-10,3.202041380812287e-10,True,pointwise map residual
A_map_invariance_point,21,2.163063794274939,6,2.733931587489341e-10,1.116122896837679e-10,2.045118692450831e-10,2.733931587489341e-10,True,pointwise map residual
A_map_invariance_point,22,2.266066832097556,6,3.929159188886455e-10,1.604072521823274e-10,2.912114230313456e-10,3.929159188886455e-10,True,pointwise map residual
A_map_invariance_point,23,2.369069869920172,6,5.68602946635183e-10,2.321311809165286e-10,4.16860893026616e-10,5.68602946635183e-10,True,pointwise map residual
A_map_invariance_point,24,2.472072907742788,6,6.055017158016184e-10,2.471950403489465e-10,4.39366553556253e-10,6.055017158016184e-10,True,pointwise map residual
A_map_invariance_point,25,2.575075945565404,6,4.618617076459532e-10,1.885542525771809e-10,3.295515492440781e-10,4.618617076459532e-10,True,pointwise map residual
A_map_invariance_point,26,2.67807898338802,6,3.120977362103637e-10,1.274133672655227e-10,2.178859349888373e-10,3.120977362103637e-10,True,pointwise map residual
A_map_invariance_point,27,2.781082021210636,6,3.130051507371886e-10,1.27783817694841e-10,2.207880579752075e-10,3.130051507371886e-10,True,pointwise map residual
A_map_invariance_point,28,2.884085059033253,6,4.000418905416124e-10,1.633164179275451e-10,2.816966764018769e-10,4.000418905416124e-10,True,pointwise map residual
A_map_invariance_point,29,2.987088096855869,6,3.982152138043274e-10,1.625706802723183e-10,2.835365831010961e-10,3.982152138043274e-10,True,pointwise map residual
A_map_invariance_point,30,3.090091134678485,6,2.705224164416438e-10,1.104403140444543e-10,1.927752263375382e-10,2.705224164416438e-10,True,pointwise map residual
A_map_invariance_point,31,3.193094172501101,6,1.940970920145659e-10,7.923980599895365e-11,1.389928797057571e-10,1.940970920145659e-10,True,pointwise map residual
A_map_invariance_point,32,3.296097210323717,6,3.214049781617284e-10,1.312130328811008e-10,2.35150520583316e-10,3.214049781617284e-10,True,pointwise map residual
A_map_invariance_point,33,3.399100248146333,6,5.700926235440905e-10,2.327393389679336e-10,4.192587908791179e-10,5.700926235440905e-10,True,pointwise map residual
A_map_invariance_point,34,3.502103285968949,6,6.909228369808037e-10,2.820680670398554e-10,5.05749754575735e-10,6.909228369808037e-10,True,pointwise map residual
A_map_invariance_point,35,3.605106323791566,6,5.713164030873236e-10,2.332389448743631e-10,4.12996990772907e-10,5.713164030873236e-10,True,pointwise map residual
A_map_invariance_point,36,3.708109361614182,6,3.676728402323022e-10,1.501018084748304e-10,2.593972467379579e-10,3.676728402323022e-10,True,pointwise map residual
A_map_invariance_point,37,3.811112399436798,6,2.769795856244641e-10,1.130764423245766e-10,1.926855758282997e-10,2.769795856244641e-10,True,pointwise map residual
A_map_invariance_point,38,3.914115437259414,6,3.185145501105063e-10,1.300330205704806e-10,2.241902739841262e-10,3.185145501105063e-10,True,pointwise map residual
A_map_invariance_point,39,4.017118475082031,6,3.463228400394409e-10,1.413857073946917e-10,2.481154517952611e-10,3.463228400394409e-10,True,pointwise map residual
A_map_invariance_point,40,4.120121512904646,6,2.915337099377338e-10,1.190181386946675e-10,2.121523963449778e-10,2.915337099377338e-10,True,pointwise map residual
A_map_invariance_point,41,4.223124550727262,6,2.716600873673347e-10,1.10904766254978e-10,2.012576702514757e-10,2.716600873673347e-10,True,pointwise map residual
A_map_invariance_point,42,4.326127588549879,6,4.248049314009947e-10,1.734258870250747e-10,3.152457947463994e-10,4.248049314009947e-10,True,pointwise map residual
A_map_invariance_point,43,4.429130626372495,6,6.827531393849665e-10,2.787328019627482e-10,5.025825831894704e-10,6.827531393849665e-10,True,pointwise map residual
A_map_invariance_point,44,4.532133664195111,6,7.890972080147777e-10,3.221475861818403e-10,5.758493508423168e-10,7.890972080147777e-10,True,pointwise map residual
A_map_invariance_point,45,4.635136702017728,6,6.344623645938356e-10,2.590181757090935e-10,4.581494662814212e-10,6.344623645938356e-10,True,pointwise map residual
A_map_invariance_point,46,4.738139739840343,6,3.778573479683603e-10,1.542596163472921e-10,2.685240675648348e-10,3.778573479683603e-10,True,pointwise map residual
A_map_invariance_point,47,4.841142777662959,6,2.594173096911086e-10,1.059066731981296e-10,1.82447567470545e-10,2.594173096911086e-10,True,pointwise map residual
A_map_invariance_point,48,4.944145815485576,6,3.327877329061893e-10,1.358600230462964e-10,2.374823705741935e-10,3.327877329061893e-10,True,pointwise map residual
A_map_invariance_point,49,5.047148853308192,6,4.177872227014528e-10,1.705609194455133e-10,3.022608899283519e-10,4.177872227014528e-10,True,pointwise map residual
A_map_invariance_point,50,5.150151891130808,6,3.729458696875779e-10,1.522545137355123e-10,2.736103670020196e-10,3.729458696875779e-10,True,pointwise map residual
A_map_invariance_point,51,5.253154928953424,6,2.787698429686987e-10,1.138073118248508e-10,2.07853626671417e-10,2.787698429686987e-10,True,pointwise map residual
A_map_invariance_point,52,5.35615796677604,6,3.142741550513546e-10,1.283018865366905e-10,2.343321960085465e-10,3.142741550513546e-10,True,pointwise map residual
A_map_invariance_point,53,5.459161004598656,6,4.862867221041951e-10,1.985257229743133e-10,3.583401075868409e-10,4.862867221041951e-10,True,pointwise map residual
A_map_invariance_point,54,5.562164042421273,6,6.126905959914984e-10,2.501298883968146e-10,4.470057414496242e-10,6.126905959914984e-10,True,pointwise map residual
A_map_invariance_point,55,5.665167080243889,6,5.491337856000873e-10,2.241829292071851e-10,3.956794024373433e-10,5.491337856000873e-10,True,pointwise map residual
A_map_invariance_point,56,5.768170118066505,6,3.732251321554672e-10,1.523685221606189e-10,2.627420017664583e-10,3.732251321554672e-10,True,pointwise map residual
A_map_invariance_point,57,5.871173155889121,6,2.926735761478082e-10,1.194834871262879e-10,2.06174018829719e-10,2.926735761478082e-10,True,pointwise map residual
A_map_invariance_point,58,5.974176193711737,6,3.568341981567223e-10,1.456769513765252e-10,2.505274217246001e-10,3.568341981567223e-10,True,pointwise map residual
A_map_invariance_point,59,6.077179231534354,6,4.186853404431266e-10,1.709275744781869e-10,2.968900680855313e-10,4.186853404431266e-10,True,pointwise map residual
A_map_invariance_point,60,6.18018226935697,6,3.43044332619274e-10,1.400472623451354e-10,2.446424209046061e-10,3.43044332619274e-10,True,pointwise map residual
B_mean_jacobi,summary,N/A,1,0,0,0,0,True,mean(C(X_i)) - C_target
C_curve_phase,summary,N/A,1,0,0,0,0,True,"<X - X_ref, dX_ref/dtheta>"
D_second_phase_diagnostic,summary,N/A,1,0,0,0,0,False,diagnostic only; not included in the residual vector
E_fourier_tail_state,summary,N/A,1,5.400271324493003e-23,5.400271324493003e-23,5.400271324493003e-23,5.400271324493003e-23,False,spectral quality diagnostic only
E_fourier_tail_z,summary,N/A,1,4.085802292417093e-22,4.085802292417093e-22,4.085802292417093e-22,4.085802292417093e-22,False,z-component spectral quality diagnostic only
