index,classification,real,imag,magnitude,angle_rad,mapping_time_days,rotation_angle_rad,base_vertical_amplitude_nd,planar_mode_amplitude_nd,curve_residual_norm,determinant,stability_index
0,unstable,2512.80879841037,2231.518300340585,3360.637139312054,0.7261776290626762,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
1,unstable,2512.80879841037,-2231.518300340585,3360.637139312054,-0.7261776290626762,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
2,unstable,2874.411326490326,1741.160947286563,3360.637129803174,0.5446332280107382,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
3,unstable,2874.411326490326,-1741.160947286563,3360.637129803174,-0.5446332280107382,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
4,unstable,3360.637129803173,0,3360.637129803173,0,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
5,unstable,3305.408501955584,-606.7590571317779,3360.637129803172,-0.1815444093369127,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
6,unstable,3305.408501955584,606.7590571317779,3360.637129803172,0.1815444093369127,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
7,unstable,3141.5378702333,1193.575187452265,3360.63712980317,0.3630888186738255,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
8,unstable,3141.5378702333,-1193.575187452265,3360.63712980317,-0.3630888186738255,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
9,unit,0.9835660389938481,-0.1805487384008355,1.000000000000091,-0.1815443297331775,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
10,unit,0.9835660389938481,0.1805487384008355,1.000000000000091,0.1815443297331775,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
11,unit,0.855317335595511,0.5181044831208325,1.000000000000054,0.5446333030893107,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
12,unit,0.855317335595511,-0.5181044831208325,1.000000000000054,-0.5446333030893107,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
13,unit,1.00000000000004,9.791408700557226e-08,1.000000000000044,9.791408700556807e-08,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
14,unit,1.00000000000004,-9.791408700557226e-08,1.000000000000044,-9.791408700556807e-08,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
15,unit,0.9835660069431984,-0.1805489130011548,1.000000000000043,-0.1815445072508263,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
16,unit,0.9835660069431984,0.1805489130011548,1.000000000000043,0.1815445072508263,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
17,unit,0.8553173246381485,0.5181045012098613,1.00000000000004,0.5446333242382293,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
18,unit,0.8553173246381485,-0.5181045012098613,1.00000000000004,-0.5446333242382293,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
19,unit,0.9348042148036633,0.3551634553066849,1.000000000000038,0.3630889165878222,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
20,unit,0.9348042148036633,-0.3551634553066849,1.000000000000038,-0.3630889165878222,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
21,unit,0.7477180262007086,-0.6640163802908726,1.000000000000038,-0.7261775528039488,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
22,unit,0.7477180262007086,0.6640163802908726,1.000000000000038,0.7261775528039488,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
23,unit,0.7477179081399234,-0.664016513233579,1.000000000000011,-0.726177730601902,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
24,unit,0.7477179081399234,0.664016513233579,1.000000000000011,0.726177730601902,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
25,unit,0.9348042778514758,-0.3551632893622148,1.000000000000004,-0.3630887390699531,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
26,unit,0.9348042778514758,0.3551632893622148,1.000000000000004,0.3630887390699531,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
27,unit,0.8553174156188069,-0.5181043510135183,0.9999999999999869,-0.5446331486352063,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
28,unit,0.8553174156188069,0.5181043510135183,0.9999999999999869,0.5446331486352063,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
29,unit,0.74771804158245,-0.6640163629701159,0.9999999999999776,-0.7261775296391786,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
30,unit,0.74771804158245,0.6640163629701159,0.9999999999999776,0.7261775296391786,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
31,unit,0.855317425105899,-0.5181043353516417,0.9999999999999758,-0.5446331303240268,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
32,unit,0.855317425105899,0.5181043353516417,0.9999999999999758,0.5446331303240268,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
33,unit,0.9348042843545183,0.3551632722458575,0.9999999999999741,0.3630887207598671,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
34,unit,0.9348042843545183,-0.3551632722458575,0.9999999999999741,-0.3630887207598671,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
35,unit,0.6155426933922119,0.7881035418086926,0.9999999999999721,0.9077219385998301,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
36,unit,0.6155426933922119,-0.7881035418086926,0.9999999999999721,-0.9077219385998301,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
37,unit,0.9835660422996282,-0.180548720391397,0.9999999999999624,-0.181544311422851,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
38,unit,0.9835660422996282,0.180548720391397,0.9999999999999624,0.181544311422851,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
39,unit,0.9348042213067376,-0.3551634381900796,0.9999999999999473,-0.3630888982774931,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
40,unit,0.9348042213067376,0.3551634381900796,0.9999999999999473,0.3630888982774931,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
41,unit,0.9835660102490027,0.1805488949917782,0.9999999999999467,0.1815444889405562,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
42,unit,0.9835660102490027,-0.1805488949917782,0.9999999999999467,-0.1815444889405562,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
43,unit,0.9999999999999334,-7.960367462048644e-08,0.9999999999999365,-7.960367462049157e-08,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
44,unit,0.9999999999999334,7.960367462048644e-08,0.9999999999999365,7.960367462049157e-08,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
45,stable,0.0002926724863010737,-5.372457937966312e-05,0.000297562623101716,-0.1815444089459861,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
46,stable,0.0002926724863010737,5.372457937966312e-05,0.000297562623101716,0.1815444089459861,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
47,stable,0.0002975626230962224,0,0.0002975626230962224,0,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
48,stable,0.0002545104815091494,-0.000154168509945002,0.000297562623084085,-0.5446332281059587,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
49,stable,0.0002545104815091494,0.000154168509945002,0.000297562623084085,0.5446332281059587,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
50,stable,0.0002781628045027285,-0.0001056833422400661,0.0002975626230490887,-0.3630888190472276,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
51,stable,0.0002781628045027285,0.0001056833422400661,0.0002975626230490887,0.3630888190472276,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
52,stable,0.0002224929216104535,0.0001975864723001573,0.0002975626223213801,0.726177628835408,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
53,stable,0.0002224929216104535,-0.0001975864723001573,0.0002975626223213801,-0.726177628835408,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
