system,point,branch_method,continuation_index,z0,x0,ydot0,period,jacobi,perilune_radius_km,z_amplitude_km,stability_index,periodicity_error,final_residual_norm
earth_moon,L2,pseudo-arclength,217,0.004551873407716962,0.9876283006329235,2.285837113996092,1.364970670214761,3.05890456512764,1751.803325744411,66604.90438247225,1.000012085472485,6.614356978501943e-10,3.711629399253278e-14
earth_moon,L2,pseudo-arclength,216,0.004591109432731078,0.9876257860471357,2.275876392838341,1.366739888217646,3.058736734444849,1766.914804993347,66651.87167875595,1.000015092267552,8.385801081154932e-10,5.349118248480776e-14
earth_moon,L2,pseudo-arclength,212,0.004753198039137718,0.9876153691363774,2.236039593293838,1.373951779001342,3.058057368325786,1829.342951748976,66841.73842196325,1.000007271336124,4.275916795176374e-10,1.397257045753878e-13
earth_moon,L2,pseudo-arclength,208,0.004923953429348527,0.9876043514099153,2.196213215544081,1.381389562379863,3.057364684259471,1895.110449493301,67034.8949653181,1.01813571271331,9.483452505734217e-10,1.584467159075476e-13
earth_moon,L2,pseudo-arclength,204,0.005103998169066625,0.9875926951466787,2.156398263669546,1.389067277724606,3.056658054770915,1964.457088212359,67231.47199786894,1.037704445501995,4.81539281692941e-10,6.468613348690013e-14
earth_moon,L2,pseudo-arclength,200,0.005294010905537971,0.9875803607287803,2.116595866021661,1.39700015302228,3.055936814319941,2037.644224323093,67431.60763043989,1.057751956075353,7.311979643002472e-10,1.010322724615542e-13
earth_moon,L2,pseudo-arclength,196,0.005494732399943928,0.9875673067472268,2.07680729364921,1.405204726776535,3.05520025711573,2114.957092919078,67635.44781136813,1.078296385845638,7.720693117166223e-10,1.603498136186884e-13
earth_moon,L2,pseudo-arclength,192,0.005706972301799816,0.9875534901862169,2.037033981869622,1.413698984116698,3.054447634935034,2196.707402710864,67843.14674299663,1.099354975074943,4.509565316644961e-10,4.851028926464992e-14
earth_moon,L2,pseudo-arclength,188,0.005931616764620613,0.9875388667119637,1.997277555584674,1.422502508868855,3.053678154989228,2283.236251283246,68054.86728520012,1.120943886590131,4.53831557756794e-10,1.644443453405259e-14
earth_moon,L2,pseudo-arclength,184,0.006169637015378,0.9875233910996879,1.957539859064274,1.431636653544504,3.052890977907257,2374.917403115367,68270.78133319668,1.143079898656542,3.631675031528748e-10,8.008923504037569e-14
earth_moon,L2,pseudo-arclength,180,0.006422099004910807,0.9875070178424258,1.917822991073078,1.441124729411983,3.052085215924766,2472.160978051676,68491.07015368924,1.165778337860781,2.650039981459604e-10,1.48899902606417e-13
earth_moon,L2,pseudo-arclength,176,0.006690174282365722,0.9874897019982595,1.878129346398425,1.450992219026132,3.051259931397182,2575.417604037807,68715.92464893351,1.18905286304622,4.971865587039895e-10,9.808984339635441e-14
earth_moon,L2,pseudo-arclength,172,0.006975152253668313,0.9874714003494203,1.838461665061551,1.461267013795542,3.050414135795508,2685.183093983268,68945.54552067572,1.212915815804168,5.226532279699981e-10,1.391692781905849e-13
earth_moon,L2,pseudo-arclength,168,0.007278454001464721,0.9874520729685995,1.798823090764913,1.471979679340833,3.049546789392441,2802.003712833368,69180.14328607712,1.237375984893107,3.979301529076125e-10,6.671085284447102e-14
earth_moon,L2,pseudo-arclength,164,0.00760164786104143,0.9874316853162625,1.759217240456171,1.483163751519262,3.048656801912645,2926.482107303103,69419.93808789561,1.262437960772713,3.039708851849653e-10,2.138074789264893e-14
earth_moon,L2,pseudo-arclength,160,0.007946466961994907,0.9874102110297858,1.719648287283312,1.494856066013952,3.047743034503725,3059.283975857091,69665.15922236071,1.288101035165127,1.47773316569981e-10,1.859646914531094e-13
earth_moon,L2,pseudo-arclength,156,0.008314828956602498,0.9873876356134172,1.680121059686017,1.507097124255136,3.04680430349442,3201.145560233589,69916.04428152388,1.314356765789507,2.913045855353107e-10,1.616466736984413e-14
earth_moon,L2,pseudo-arclength,152,0.008708858159479282,0.9873639613006524,1.640641159924145,1.519931498061605,3.045839386543509,3352.882040802351,70172.83777655367,1.341187542749178,3.770142768831947e-10,1.557766214685694e-13
earth_moon,L2,pseudo-arclength,148,0.00913091031396304,0.9873392134419547,1.601215105990851,1.53340827464333,3.044847031963026,3515.396913561096,70435.78907147495,1.368562845258982,1.946598235547409e-10,7.233446054023618e-14
earth_moon,L2,pseudo-arclength,144,0.009583600171082221,0.9873134488759963,1.561850501592954,1.547581542306941,3.043825972225665,3689.692415031026,70705.14939154068,1.396435053296573,1.460536757649038e-10,1.535261038497803e-13
earth_moon,L2,pseudo-arclength,140,0.01006983200581598,0.9872867668784533,1.522556239688523,1.562510915110696,3.042774942950729,3876.881037748492,70981.16762202562,1.424735262729437,1.388980162602754e-10,1.268454991651134e-13
earth_moon,L2,pseudo-arclength,136,0.01059283308678588,0.9872593234566484,1.483342745909598,1.578262091483257,3.041692709025843,4078.198137556407,71264.08450592346,1.453366418667813,2.000992842836871e-10,2.564512162189424e-14
earth_moon,L2,pseudo-arclength,132,0.01115618993745988,0.9872313499800615,1.444222268982377,1.594907436993385,3.040578099961387,4295.015567789678,71554.12475632428,1.482195270284406,1.879815425345172e-10,3.310269450694645e-14
earth_moon,L2,pseudo-arclength,128,0.0117638869491872,0.9872031774156375,1.405209225836273,1.612526574444023,3.039430057114511,4528.856172646573,71851.48645429536,1.511041569047786,1.426155990374728e-10,6.053030996386204e-14
earth_moon,L2,pseudo-arclength,124,0.01242034648902712,0.9871752677818221,1.36632060920817,1.631206954514472,3.038247696052456,4781.408820039784,72156.32693780176,1.539664604606514,1.36099172985671e-10,1.55489220126023e-14
earth_moon,L2,fixed-secondary-radius,124,0.01246867619764296,0.9871733219663733,1.363579370419694,1.632568794131869,3.038162877988541,4799.999999969334,72178.14154087465,1.541669845535674,1.567695080407356e-10,2.711207227194544e-14
earth_moon,L2,pseudo-arclength,120,0.01313046903774759,0.9871482548520636,1.327576464781344,1.651044366407912,3.037030388043942,5054.543435189802,72468.74420504458,1.567745898776995,1.18595614864348e-10,2.164120338230966e-14
earth_moon,L2,pseudo-arclength,116,0.01389967103539751,0.987122996624725,1.289000442603919,1.672143329437311,3.035777865430112,5350.325191289299,72788.75260853891,1.594866846086747,1.198161820182556e-10,5.971831869341009e-15
earth_moon,L2,pseudo-arclength,112,0.01473391693953361,0.9871006426136966,1.250620422756647,1.694617282394731,3.034490356345349,5671.026604242472,73116.2514157752,1.620480449866931,9.913031843171871e-11,2.794675220013962e-14
earth_moon,L2,pseudo-arclength,108,0.01563974046099868,0.9870827195562875,1.212469206657028,1.718588457619081,3.033168754774832,6019.135751589112,73450.98456743544,1.643875295818186,9.296247645017226e-11,8.734673662220885e-15
earth_moon,L2,pseudo-arclength,104,0.01662424801986949,0.9870712395911607,1.174585251284572,1.744187291846111,3.031814831980604,6397.358198505727,73792.48983956032,1.664130346978993,8.942163432810995e-11,8.057151674826081e-15
earth_moon,L2,pseudo-arclength,100,0.0176950952349847,0.9870688351728603,1.137013402044255,1.771551189473339,3.030431494496014,6808.609508912104,74140.03561371118,1.680058472644837,7.363647846611063e-11,1.119111776396575e-15
earth_moon,L2,pseudo-arclength,96,0.01886042496559048,0.9870789247210221,1.099805549237881,1.80082242296041,3.029023091624534,7255.99455856227,74492.54375490615,1.690137010110602,6.212991195529912e-11,2.371429758170703e-15
earth_moon,L2,pseudo-arclength,92,0.02012875356882933,0.9871059119256745,1.063021092716071,1.832144942475447,3.027595771026944,7742.769460809053,74848.49781230019,1.692424035265759,4.277381191747615e-11,2.341363753780425e-14
earth_moon,L2,pseudo-arclength,88,0.02150879148292801,0.9871554193718436,1.026727051772272,1.865659892067896,3.026157873952556,8272.282106620489,75205.83707967377,1.684460111442953,2.737392890280942e-11,2.679581285065358e-15
earth_moon,L2,pseudo-arclength,84,0.02300918621859565,0.9872345534031455,0.9909976107179552,1.901499717553121,3.024720351802093,8847.888574304525,75561.83903680506,1.663158200815591,9.526017310939798e-12,5.681051115472983e-15
earth_moon,L2,pseudo-arclength,80,0.02463818173024975,0.9873521919068841,0.9559128607373081,1.939780926182844,3.023297173845061,9472.84547891406,75912.99523706555,1.624690421667392,8.008739921670338e-12,9.069665849936556e-15
earth_moon,L2,pseudo-arclength,76,0.02640319893792943,0.987519280583829,0.9215565097687677,1.980595830075315,3.021905684566048,10150.18301267021,76254.8883392717,1.564395330540092,5.367423367075411e-11,4.887014659139012e-15
earth_moon,L2,pseudo-arclength,72,0.0283103575105813,0.9877491177948154,0.8880124120543079,2.024003949907289,3.020566862832069,10882.56972051707,76582.07970730306,1.476770123868895,4.633103545480511e-11,2.638494052613664e-15
earth_moon,L2,pseudo-arclength,68,0.03036397607675741,0.9880576057084587,0.8553599361582839,2.070024095224601,3.01930543979962,11672.18676016185,76888.01649954282,1.355741835304054,4.830438959555503e-11,2.817394713012504e-15
earth_moon,L2,pseudo-arclength,64,0.03256610108004504,0.9884634489602951,0.823668434629539,2.118628343388516,3.018149853285474,12520.63427900446,77164.96310164242,1.195890477860821,4.168573651625266e-11,3.440010081650492e-15
earth_moon,L2,fixed-secondary-radius,64,0.03279770128521528,0.9885108604269947,0.8205106907871431,2.123698756117806,3.018039802000923,12610.00000000001,77191.08819675102,1.177409613861752,4.218211278473213e-11,6.474700250934371e-15
earth_moon,L2,pseudo-arclength,60,0.03491611617390901,0.9889882930577288,0.7929913455607646,2.1697390678569,3.017132053818479,13428.89289881332,77403.95368761804,1,3.656287934340525e-11,2.777840911388708e-15
earth_moon,L2,pseudo-arclength,56,0.03741046863191668,0.9896568123639665,0.7633606518392421,2.223229738842319,3.01628722490189,14397.35729152148,77594.75175881016,1,3.09072934407686e-11,2.503780447286198e-15
earth_moon,L2,pseudo-arclength,52,0.0400425166262107,0.9904967774096627,0.7347824504585072,2.278929495269082,3.015653523338763,15425.94694508961,77725.79151862412,1,2.35050269378102e-11,4.75751155628145e-15
earth_moon,L2,pseudo-arclength,48,0.04280245857237251,0.9915391472281382,0.7072341972169541,2.336630676684019,3.015271969607784,16514.28475573154,77784.06826874084,1,1.222260857298963e-11,2.296607579272379e-15
earth_moon,L2,pseudo-arclength,44,0.04567726461613508,0.9928182389049387,0.6806638373345825,2.396097880873772,3.015186614618222,17661.92184983316,77754.94285185843,1.165434235479937,6.861830972877021e-12,1.349572131355397e-15
earth_moon,L2,pseudo-arclength,40,0.04865050038921809,0.9943720213756132,0.6549906318466542,2.457076872739742,3.015445080402968,18868.58084794792,77621.82831904,2.014568083394686,2.532305667950369e-12,7.426500719192203e-15
earth_moon,L2,pseudo-arclength,36,0.05170191665374757,0.9962425649076969,0.6301071791344809,2.519301832725256,3.016099529780302,20134.39043482022,77365.73322277756,3.118575953623808,1.152652468927075e-12,8.488829720246377e-15
earth_moon,L2,pseudo-arclength,32,0.05480666944199573,0.9984766537072156,0.6058819960031628,2.582499857369388,3.017208075214843,21460.08918597852,76964.64272555422,4.546391545522505,4.74639868258341e-10,7.945013957882189e-12
earth_moon,L2,pseudo-arclength,28,0.05793402348634051,1.001126535717725,0.5821620738247297,2.646392107727739,3.018836592447842,22847.18200926857,76392.72542675,6.397885382689981,1.885290083800891e-10,3.352953810626895e-12
earth_moon,L2,pseudo-arclength,24,0.06104536824292992,1.004250733453091,0.5587750215882331,2.710691388319971,3.021060847312699,24298.03392158306,75619.36323142564,8.815336121389885,5.230636425718347e-11,1.078949049129461e-12
earth_moon,L2,pseudo-arclength,20,0.06409133870901354,1.007914756191145,0.5355307023156984,2.775096182308784,3.023968743253262,25815.88055867889,74608.02111392215,12.00273694792725,4.598241786567049e-12,3.519237318417803e-13
earth_moon,L2,pseudo-arclength,16,0.06700779368335764,1.012191410729236,0.5122226446385801,2.839281337554859,3.027662300205167,27404.72011428147,73315.0158563587,16.25574938357081,7.59387160477249e-12,5.47814904057533e-13
earth_moon,L2,pseudo-arclength,12,0.06971039650120479,1.017160172638876,0.4886299879758197,2.902885876308416,3.032258608222159,29069.02829216664,71688.32586616129,22.00717808035134,2.575546153311558e-11,9.520864334866752e-13
earth_moon,L2,pseudo-arclength,8,0.07208764047411391,1.022904733156291,0.4645213248928412,2.965499087344643,3.037888383050507,30813.21071793008,69666.72532667521,29.89455475446702,2.259209820093405e-11,9.347386185778569e-13
earth_moon,L2,pseudo-arclength,4,0.07399248295113774,1.029507430141717,0.4396624779524611,3.026647536974895,3.044689879460081,32640.69355393528,67179.71819437375,40.85665632882166,3.827321564990267e-11,5.753996367145652e-13
earth_moon,L2,natural-z0,7,0.07000000000000001,1.071616100976028,0.3115821078206398,3.271137916787107,3.093090539868629,41962.78048988574,47648.33355387761,183.2829961401177,3.315029204736724e-12,1.239474258323004e-14
earth_moon,L2,pseudo-arclength,0,0.07000000000000001,1.071616100976028,0.3115821078206398,3.271137916787107,3.093090539868629,41962.78048988574,47648.33355387761,183.2829961401177,3.315029204736724e-12,1.239474258323004e-14
earth_moon,L2,natural-z0,6,0.06,1.089205061945541,0.2632948861878193,3.333729671988272,3.114586988895454,45276.00092915187,37170.7990024667,297.3244091240643,6.199226108551563e-11,1.607126497535182e-12
earth_moon,L2,natural-z0,5,0.04,1.108085923347885,0.2111221329960886,3.386926062342357,3.137580434621106,48709.43842131568,22536.72504787469,467.5227359327006,2.13340745849773e-12,1.835334747571375e-14
earth_moon,L2,natural-z0,4,0.024,1.116142336367062,0.188289030900651,3.40614646184609,3.14716579165947,50171.3040153066,12994.15004756606,555.9334818043181,2.840280794360718e-11,1.130633027166386e-12
earth_moon,L2,natural-z0,3,0.014,1.118961782622415,0.1801711393401164,3.412436244754981,3.150465126764515,50686.09995855083,7474.840547196941,589.0055328559791,3.428165838667443e-12,1.020544047922133e-14
earth_moon,L2,natural-z0,2,0.008,1.1199232144332,0.1773853957722656,3.41453102926958,3.151582357829446,50862.21927117828,4251.014602208202,600.5234109742536,4.114008999946844e-12,3.713009902012833e-14
earth_moon,L2,natural-z0,1,0.004,1.120270671928141,0.1763763297228579,3.415281877273759,3.15198507783566,50925.94895953263,2121.84393211981,604.7152759952612,5.760719738681171e-12,2.544395737133509e-15
earth_moon,L2,natural-z0,0,0.001,1.120379021882501,0.1760614107794983,3.415515348116281,3.152110545071381,50945.83134079178,530.1756264440335,606.0256111275999,5.143061341415183e-12,1.468685849730623e-14
